Age	ReadScore	x2	Age14	Age14x2	Predicted
5	9	0	-9	0	11.45686175
5	12	0	-9	0	11.45686175
5	17	0	-9	0	11.45686175
5	20	0	-9	0	11.45686175
6	4	0	-8	0	12.08529654
6	9	0	-8	0	12.08529654
6	14	0	-8	0	12.08529654
6	20	0	-8	0	12.08529654
7	4	0	-7	0	12.71373133
7	5	0	-7	0	12.71373133
8	1	0	-6	0	13.34216612
8	4	0	-6	0	13.34216612
8	7	0	-6	0	13.34216612
8	12	0	-6	0	13.34216612
8	17	0	-6	0	13.34216612
9	9	0	-5	0	13.97060092
9	12	0	-5	0	13.97060092
9	14	0	-5	0	13.97060092
9	17	0	-5	0	13.97060092
9	25	0	-5	0	13.97060092
10	9	0	-4	0	14.59903571
10	12	0	-4	0	14.59903571
10	14	0	-4	0	14.59903571
10	17	0	-4	0	14.59903571
10	20	0	-4	0	14.59903571
10	22	0	-4	0	14.59903571
10	25	0	-4	0	14.59903571
10	27	0	-4	0	14.59903571
11	17	0	-3	0	15.2274705
11	20	0	-3	0	15.2274705
11	33	0	-3	0	15.2274705
12	4	0	-2	0	15.8559053
12	6	0	-2	0	15.8559053
12	7	0	-2	0	15.8559053
12	9	0	-2	0	15.8559053
12	14	0	-2	0	15.8559053
12	17	0	-2	0	15.8559053
12	20	0	-2	0	15.8559053
12	33	0	-2	0	15.8559053
13	0	0	-1	0	16.48434009
13	4	0	-1	0	16.48434009
13	11	0	-1	0	16.48434009
13	12	0	-1	0	16.48434009
13	17	0	-1	0	16.48434009
13	20	0	-1	0	16.48434009
13	30	0	-1	0	16.48434009
14	4	0	0	0	17.11277488
14	6	0	0	0	17.11277488
14	12	0	0	0	17.11277488
14	13	0	0	0	17.11277488
14	18	0	0	0	17.11277488
14	20	0	0	0	17.11277488
14	22	0	0	0	17.11277488
14	25	0	0	0	17.11277488
14	27	0	0	0	17.11277488
14	33	0	0	0	17.11277488
15	29	1	1	1	34.59564785
15	42	1	1	1	34.59564785
16	25	1	2	2	37.12786232
16	30	1	2	2	37.12786232
16	32	1	2	2	37.12786232
16	33	1	2	2	37.12786232
16	36	1	2	2	37.12786232
16	45	1	2	2	37.12786232
16	47	1	2	2	37.12786232
16	49	1	2	2	37.12786232
16	62	1	2	2	37.12786232
17	26	1	3	3	39.6600768
17	29	1	3	3	39.6600768
17	30	1	3	3	39.6600768
17	32	1	3	3	39.6600768
17	34	1	3	3	39.6600768
17	39	1	3	3	39.6600768
17	42	1	3	3	39.6600768
17	44	1	3	3	39.6600768
17	47	1	3	3	39.6600768
17	52	1	3	3	39.6600768
17	55	1	3	3	39.6600768
18	24	1	4	4	42.19229128
18	30	1	4	4	42.19229128
18	31	1	4	4	42.19229128
18	33	1	4	4	42.19229128
18	35	1	4	4	42.19229128
18	40	1	4	4	42.19229128
18	44	1	4	4	42.19229128
18	45	1	4	4	42.19229128
18	51	1	4	4	42.19229128
19	30	1	5	5	44.72450576
19	36	1	5	5	44.72450576
19	39	1	5	5	44.72450576
19	41	1	5	5	44.72450576
19	44	1	5	5	44.72450576
19	45	1	5	5	44.72450576
19	49	1	5	5	44.72450576
19	52	1	5	5	44.72450576
19	54	1	5	5	44.72450576
19	57	1	5	5	44.72450576
20	37	1	6	6	47.25672024
20	44	1	6	6	47.25672024
20	46	1	6	6	47.25672024
20	48	1	6	6	47.25672024
20	53	1	6	6	47.25672024
20	58	1	6	6	47.25672024
20	64	1	6	6	47.25672024
21	38	1	7	7	49.78893472
21	41	1	7	7	49.78893472
21	43	1	7	7	49.78893472
21	45	1	7	7	49.78893472
21	46	1	7	7	49.78893472
21	48	1	7	7	49.78893472
21	51	1	7	7	49.78893472
21	54	1	7	7	49.78893472
21	56	1	7	7	49.78893472
21	59	1	7	7	49.78893472
21	65	1	7	7	49.78893472
21	67	1	7	7	49.78893472
22	39	1	8	8	52.3211492
22	44	1	8	8	52.3211492
22	47	1	8	8	52.3211492
22	49	1	8	8	52.3211492
22	52	1	8	8	52.3211492
22	55	1	8	8	52.3211492
22	57	1	8	8	52.3211492
22	60	1	8	8	52.3211492
22	63	1	8	8	52.3211492
23	43	1	9	9	54.85336368
23	45	1	9	9	54.85336368
23	58	1	9	9	54.85336368
23	59	1	9	9	54.85336368
23	66	1	9	9	54.85336368
